UniqueID,Species,Breed,Gender,SpayNeuter,Borough,ZipCode,Season,trainability_value,group,Age_Range
3,DOG,bull terrier,U,FALSE,Brooklyn,11224,Winter,0.38,Terrier Group,
5,DOG,bull terrier,U,FALSE,Brooklyn,11224,Winter,0.69,Terrier Group,
6,DOG,basenji,M,FALSE,Brooklyn,11231,Winter,0.71,Hound Group,Adult (3-7 Years)
8,DOG,bull terrier,U,FALSE,Brooklyn,11233,Winter,0.48,Terrier Group,
13,DOG,great dane,F,TRUE,Brooklyn,,Winter,0.87,Working Group,Adult (3-7 Years)
14,DOG,bull terrier,U,FALSE,Brooklyn,11220,Winter,0.62,Terrier Group,
16,DOG,west highland white terrier,M,FALSE,Brooklyn,11207,Winter,0.57,Terrier Group,
17,DOG,bull terrier,U,FALSE,Brooklyn,11205,Winter,0.54,Terrier Group,
20,DOG,bull terrier,U,FALSE,Brooklyn,11233,Winter,0.26,Terrier Group,
22,DOG,bull terrier,F,TRUE,Brooklyn,11236,Winter,0.65,Terrier Group,Senior (8+ Years)
26,DOG,pekingese,M,TRUE,Brooklyn,11220,Winter,0.42,Toy Group,Adult (3-7 Years)
29,DOG,bull terrier,F,TRUE,Brooklyn,11230,Winter,0.45,Terrier Group,Puppy/Young (0-2 Years)
30,DOG,dachshund,M,FALSE,Brooklyn,11211,Winter,0.53,Hound Group,Puppy/Young (0-2 Years)
31,DOG,bull terrier,U,FALSE,Brooklyn,11224,Winter,0.2,Terrier Group,
35,DOG,chihuahua,M,FALSE,Brooklyn,11205,Winter,0.44,Toy Group,Adult (3-7 Years)
36,DOG,bull terrier,U,FALSE,Brooklyn,11208,Winter,0.51,Terrier Group,
37,DOG,yorkshire terrier,U,FALSE,Brooklyn,11210,Winter,0.0,Toy Group,
38,DOG,shih tzu,U,FALSE,Brooklyn,11233,Winter,0.84,Toy Group,
39,DOG,pug,M,TRUE,Brooklyn,11223,Winter,0.41,Toy Group,Senior (8+ Years)
40,DOG,maltese,U,FALSE,Brooklyn,11224,Winter,0.33,Toy Group,
44,DOG,miniature pinscher,M,FALSE,Brooklyn,11214,Winter,0.33,Toy Group,Senior (8+ Years)
46,DOG,shih tzu,U,FALSE,Brooklyn,11215,Winter,0.6,Toy Group,
47,DOG,dachshund,M,FALSE,Brooklyn,,Winter,0.49,Hound Group,Puppy/Young (0-2 Years)
48,DOG,american english coonhound,M,TRUE,Brooklyn,11201,Winter,0.39,Hound Group,Adult (3-7 Years)
50,DOG,bichon frise,U,FALSE,Brooklyn,11212,Winter,0.38,Non-Sporting Group,
51,DOG,german shepherd dog,M,FALSE,Brooklyn,11236,Winter,0.71,Herding Group,Puppy/Young (0-2 Years)
52,DOG,bull terrier,U,FALSE,Brooklyn,,Winter,0.3,Terrier Group,
53,DOG,bull terrier,U,FALSE,Brooklyn,11201,Winter,0.59,Terrier Group,
56,DOG,bull terrier,U,FALSE,Brooklyn,11207,Winter,0.62,Terrier Group,
57,DOG,bull terrier,U,FALSE,Brooklyn,11207,Winter,0.37,Terrier Group,
58,DOG,chihuahua,M,FALSE,Brooklyn,11233,Winter,0.5,Toy Group,Puppy/Young (0-2 Years)
59,DOG,bull terrier,M,FALSE,Brooklyn,11216,Winter,0.4,Terrier Group,Puppy/Young (0-2 Years)
62,DOG,german shepherd dog,M,FALSE,Brooklyn,11235,Winter,0.94,Herding Group,Adult (3-7 Years)
64,DOG,labrador retriever,M,TRUE,Brooklyn,11239,Winter,1.0,Sporting Group,Adult (3-7 Years)
65,DOG,rottweiler,U,FALSE,Brooklyn,,Winter,0.31,Working Group,
66,DOG,shih tzu,M,FALSE,Brooklyn,11236,Winter,0.33,Toy Group,Senior (8+ Years)
67,DOG,cane corso,M,FALSE,Brooklyn,11216,Winter,0.44,Working Group,Senior (8+ Years)
69,DOG,norfolk terrier,U,FALSE,Brooklyn,11231,Winter,0.76,Terrier Group,
78,DOG,chihuahua,M,TRUE,Brooklyn,11214,Winter,0.42,Toy Group,Adult (3-7 Years)
79,DOG,bull terrier,F,FALSE,Brooklyn,11233,Winter,0.32,Terrier Group,Puppy/Young (0-2 Years)
80,DOG,bull terrier,F,TRUE,Brooklyn,11236,Winter,0.34,Terrier Group,Adult (3-7 Years)
81,DOG,yorkshire terrier,F,FALSE,Brooklyn,11234,Winter,0.19,Toy Group,
82,DOG,rottweiler,U,FALSE,Brooklyn,11233,Winter,0.62,Working Group,
83,DOG,bull terrier,M,FALSE,Brooklyn,11218,Winter,0.33,Terrier Group,Adult (3-7 Years)
84,DOG,pomeranian,M,TRUE,Brooklyn,11214,Winter,0.69,Toy Group,Senior (8+ Years)
85,DOG,bull terrier,F,FALSE,Brooklyn,11208,Winter,0.33,Terrier Group,Adult (3-7 Years)
86,DOG,poodle (standard),F,FALSE,Brooklyn,11220,Winter,0.95,Non-Sporting Group,Adult (3-7 Years)
87,DOG,bull terrier,U,FALSE,Brooklyn,11233,Winter,0.49,Terrier Group,
90,DOG,australian terrier,M,TRUE,Brooklyn,11208,Spring,0.59,Terrier Group,Adult (3-7 Years)
91,DOG,cocker spaniel,M,FALSE,Brooklyn,11209,Spring,1.0,Sporting Group,Puppy/Young (0-2 Years)
93,DOG,siberian husky,F,TRUE,Brooklyn,11234,Spring,0.73,Working Group,Adult (3-7 Years)
96,DOG,pointer,M,TRUE,Brooklyn,11209,Winter,0.73,Sporting Group,Puppy/Young (0-2 Years)
97,DOG,boxer,U,FALSE,Brooklyn,11215,Spring,0.76,Working Group,
98,DOG,shih tzu,U,FALSE,Brooklyn,,Spring,0.78,Toy Group,
99,DOG,bull terrier,U,FALSE,Brooklyn,11220,Spring,0.2,Terrier Group,
102,DOG,german shepherd dog,U,FALSE,Brooklyn,11219,Winter,0.79,Herding Group,
105,DOG,bull terrier,F,TRUE,Brooklyn,11234,Spring,0.32,Terrier Group,Puppy/Young (0-2 Years)
106,DOG,siberian husky,M,FALSE,Brooklyn,11219,Spring,0.43,Working Group,Puppy/Young (0-2 Years)
107,DOG,bull terrier,F,FALSE,Brooklyn,11231,Spring,0.53,Terrier Group,Puppy/Young (0-2 Years)
108,DOG,labrador retriever,M,FALSE,Brooklyn,11222,Spring,0.85,Sporting Group,Senior (8+ Years)
109,DOG,beagle,M,TRUE,Brooklyn,11220,Spring,0.37,Hound Group,Adult (3-7 Years)
111,DOG,rottweiler,M,TRUE,Brooklyn,11206,Spring,0.92,Working Group,Adult (3-7 Years)
121,DOG,maltese,F,FALSE,Brooklyn,11216,Spring,0.73,Toy Group,Adult (3-7 Years)
122,DOG,lhasa apso,M,FALSE,Brooklyn,11226,Spring,0.42,Non-Sporting Group,Puppy/Young (0-2 Years)
123,DOG,chihuahua,M,TRUE,Brooklyn,11225,Spring,0.42,Toy Group,Senior (8+ Years)
124,DOG,pug,M,FALSE,Brooklyn,11204,Spring,0.33,Toy Group,Senior (8+ Years)
125,DOG,airedale terrier,M,TRUE,Brooklyn,11215,Spring,0.94,Terrier Group,Puppy/Young (0-2 Years)
127,DOG,bull terrier,U,FALSE,Brooklyn,11207,Spring,0.55,Terrier Group,
129,DOG,shih tzu,F,FALSE,Brooklyn,11209,Spring,0.78,Toy Group,Senior (8+ Years)
130,DOG,bichon frise,U,FALSE,Brooklyn,,Spring,0.74,Non-Sporting Group,
131,DOG,bull terrier,U,FALSE,Brooklyn,11207,Spring,0.54,Terrier Group,
132,DOG,bull terrier,U,FALSE,Brooklyn,,Spring,0.5,Terrier Group,
135,DOG,shih tzu,F,FALSE,Brooklyn,11237,Spring,0.88,Toy Group,Puppy/Young (0-2 Years)
138,DOG,maltese,M,TRUE,Brooklyn,11215,Spring,0.8,Toy Group,Senior (8+ Years)
140,DOG,maltese,M,FALSE,Brooklyn,11234,Spring,0.39,Toy Group,Adult (3-7 Years)
141,DOG,siberian husky,M,FALSE,Brooklyn,11214,Spring,0.27,Working Group,Adult (3-7 Years)
150,DOG,akita,M,FALSE,Brooklyn,11207,Spring,1.0,Working Group,Adult (3-7 Years)
151,DOG,shih tzu,M,FALSE,Brooklyn,,Spring,0.74,Toy Group,Adult (3-7 Years)
153,DOG,boston terrier,F,TRUE,Brooklyn,11201,Spring,1.0,Non-Sporting Group,Adult (3-7 Years)
155,DOG,bull terrier,U,FALSE,Brooklyn,11218,Spring,0.38,Terrier Group,
158,DOG,siberian husky,M,TRUE,Brooklyn,11238,Spring,0.2,Working Group,Puppy/Young (0-2 Years)
159,DOG,shih tzu,M,TRUE,Brooklyn,,Spring,0.33,Toy Group,Adult (3-7 Years)
160,DOG,bull terrier,U,FALSE,Brooklyn,11236,Spring,0.23,Terrier Group,
161,DOG,maltese,F,TRUE,Brooklyn,11223,Spring,0.96,Toy Group,Senior (8+ Years)
164,DOG,border collie,M,FALSE,Brooklyn,,Spring,1.0,Herding Group,
165,DOG,bull terrier,M,FALSE,Brooklyn,11230,Spring,0.68,Terrier Group,Puppy/Young (0-2 Years)
166,DOG,cane corso,F,FALSE,Brooklyn,11234,Spring,0.54,Working Group,Senior (8+ Years)
167,DOG,dachshund,F,TRUE,Brooklyn,11249,Spring,0.29,Hound Group,Senior (8+ Years)
168,DOG,rottweiler,M,TRUE,Brooklyn,11208,Spring,0.86,Working Group,Puppy/Young (0-2 Years)
169,DOG,afghan hound,U,FALSE,Brooklyn,11231,Spring,0.05,Hound Group,
170,DOG,bull terrier,U,FALSE,Brooklyn,11217,Spring,0.3,Terrier Group,
171,DOG,maltese,M,TRUE,Brooklyn,11201,Spring,0.52,Toy Group,Puppy/Young (0-2 Years)
172,DOG,bull terrier,U,FALSE,Brooklyn,11207,Spring,0.32,Terrier Group,
173,DOG,bull terrier,U,FALSE,Brooklyn,11236,Spring,0.39,Terrier Group,
178,DOG,shih tzu,M,FALSE,Brooklyn,11229,Spring,0.61,Toy Group,Adult (3-7 Years)
179,DOG,german shepherd dog,U,FALSE,Brooklyn,11233,Spring,0.92,Herding Group,
181,DOG,bull terrier,U,FALSE,Brooklyn,11220,Spring,0.21,Terrier Group,
183,DOG,german shepherd dog,M,TRUE,Brooklyn,11230,Spring,0.9,Herding Group,Puppy/Young (0-2 Years)
185,DOG,bull terrier,U,FALSE,Brooklyn,11209,Spring,0.6,Terrier Group,
188,DOG,bull terrier,U,FALSE,Brooklyn,11206,Spring,0.27,Terrier Group,
189,DOG,bull terrier,U,FALSE,Brooklyn,,Spring,0.62,Terrier Group,
190,DOG,chihuahua,U,FALSE,Brooklyn,11221,Spring,0.09,Toy Group,
191,DOG,shih tzu,U,FALSE,Brooklyn,11233,Spring,0.77,Toy Group,
192,DOG,bull terrier,U,FALSE,Brooklyn,11238,Spring,0.12,Terrier Group,
193,DOG,lhasa apso,F,TRUE,Brooklyn,11210,Spring,0.51,Non-Sporting Group,Adult (3-7 Years)
194,DOG,bull terrier,U,FALSE,Brooklyn,11233,Spring,0.33,Terrier Group,
196,DOG,central asian shepherd dog,M,TRUE,Brooklyn,11204,Spring,0.12,Foundation Stock Service,Puppy/Young (0-2 Years)
197,DOG,german shepherd dog,M,TRUE,Brooklyn,11230,Spring,0.93,Herding Group,Puppy/Young (0-2 Years)
201,DOG,golden retriever,M,FALSE,Brooklyn,11230,Spring,0.8,Sporting Group,Puppy/Young (0-2 Years)
203,DOG,bull terrier,U,FALSE,Brooklyn,11213,Spring,0.35,Terrier Group,
205,DOG,bull terrier,U,FALSE,Brooklyn,11215,Spring,0.42,Terrier Group,
210,DOG,yorkshire terrier,M,TRUE,Brooklyn,11214,Spring,0.0,Toy Group,Senior (8+ Years)
211,DOG,miniature bull terrier,F,FALSE,Brooklyn,11203,Spring,0.68,Terrier Group,Senior (8+ Years)
212,DOG,shiba inu,M,FALSE,Brooklyn,,Spring,0.43,Non-Sporting Group,
213,DOG,yorkshire terrier,F,FALSE,Brooklyn,11207,Spring,0.7,Toy Group,Puppy/Young (0-2 Years)
214,DOG,bulldog,U,FALSE,Brooklyn,,Spring,0.56,Non-Sporting Group,
215,DOG,bull terrier,U,FALSE,Brooklyn,11214,Spring,0.39,Terrier Group,
216,DOG,rottweiler,M,TRUE,Brooklyn,11236,Spring,0.83,Working Group,Puppy/Young (0-2 Years)
219,DOG,siberian husky,U,FALSE,Brooklyn,11205,Spring,0.28,Working Group,
221,DOG,australian cattle dog,F,TRUE,Brooklyn,11226,Spring,0.49,Herding Group,Adult (3-7 Years)
223,DOG,bull terrier,F,FALSE,Brooklyn,11230,Spring,0.57,Terrier Group,
224,DOG,bull terrier,U,FALSE,Brooklyn,11221,Spring,0.55,Terrier Group,
226,DOG,french bulldog,M,TRUE,Brooklyn,11235,Spring,0.76,Non-Sporting Group,Puppy/Young (0-2 Years)
230,DOG,great dane,U,FALSE,Brooklyn,11213,Spring,0.23,Working Group,
231,DOG,bull terrier,U,FALSE,Brooklyn,11221,Spring,0.34,Terrier Group,
